strategy,ticker,name,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason,hold_days
C_갭모멘텀,277810,레인보우로보틱스,2023-03-17,2023-03-17,114200.0,120749.0,5.471,TP,0
C_갭모멘텀,277810,레인보우로보틱스,2023-11-07,2023-11-07,171700.0,166132.0,-3.484,SL,0
C_갭모멘텀,307950,현대오토에버,2021-10-12,2021-10-14,109500.0,113103.0,3.033,EXPIRE,2
C_갭모멘텀,307950,현대오토에버,2023-04-13,2023-04-13,129800.0,125591.0,-3.484,SL,0
C_갭모멘텀,298380,에이비엘바이오,2022-01-13,2022-01-13,28850.0,27915.0,-3.484,SL,0
C_갭모멘텀,298380,에이비엘바이오,2022-11-14,2022-11-14,21700.0,20996.0,-3.484,SL,0
C_갭모멘텀,298380,에이비엘바이오,2023-11-07,2023-11-09,18390.0,18585.0,0.807,EXPIRE,2
C_갭모멘텀,298380,에이비엘바이오,2023-12-27,2023-12-27,24850.0,24044.0,-3.484,SL,0
C_갭모멘텀,298380,에이비엘바이오,2024-07-04,2024-07-04,27200.0,28760.0,5.471,TP,0
C_갭모멘텀,003230,삼양식품,2022-02-10,2022-02-11,97100.0,93951.0,-3.484,SL,1
C_갭모멘텀,003230,삼양식품,2022-06-17,2022-06-20,93900.0,99285.0,5.471,TP,3
C_갭모멘텀,003230,삼양식품,2022-08-17,2022-08-19,115000.0,115096.0,-0.166,EXPIRE,2
C_갭모멘텀,003230,삼양식품,2023-08-16,2023-08-16,179200.0,173389.0,-3.484,SL,0
C_갭모멘텀,003230,삼양식품,2024-03-05,2024-03-07,189400.0,194318.0,2.341,EXPIRE,2
C_갭모멘텀,003230,삼양식품,2024-05-21,2024-05-21,507000.0,490560.0,-3.484,SL,0
C_갭모멘텀,950160,코오롱티슈진,2024-03-22,2024-03-22,16900.0,16352.0,-3.484,SL,0
C_갭모멘텀,950160,코오롱티슈진,2024-07-15,2024-07-15,18490.0,19550.0,5.471,TP,0
C_갭모멘텀,950160,코오롱티슈진,2024-12-03,2024-12-03,20500.0,19835.0,-3.484,SL,0
C_갭모멘텀,003490,대한항공,2022-11-07,2022-11-09,24000.0,24614.0,2.301,EXPIRE,2
C_갭모멘텀,003490,대한항공,2022-11-14,2022-11-14,26500.0,25641.0,-3.484,SL,0
C_갭모멘텀,016360,삼성증권,2021-05-11,2021-05-12,46300.0,44799.0,-3.484,SL,1
C_갭모멘텀,006260,LS,2022-10-11,2022-10-12,60100.0,58151.0,-3.484,SL,1
C_갭모멘텀,006260,LS,2023-04-12,2023-04-12,84200.0,89029.0,5.471,TP,0
