strategy,ticker,name,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason,hold_days
A_눌림목v2,319400,현대무벡스,2023-05-24,2023-05-24,4915.0,4756.0,-3.484,SL,0
A_눌림목v2,319400,현대무벡스,2023-05-26,2023-05-26,4665.0,4514.0,-3.484,SL,0
A_눌림목v2,319400,현대무벡스,2023-11-17,2023-11-17,3485.0,3372.0,-3.484,SL,0
A_눌림목v2,140410,메지온,2024-01-08,2024-01-15,39050.0,37784.0,-3.484,SL,7
A_눌림목v2,140410,메지온,2024-02-23,2024-02-26,36600.0,39429.0,7.461,TP,3
A_눌림목v2,008930,한미사이언스,2022-03-21,2022-03-24,45257.0,43789.0,-3.484,SL,3
A_눌림목v2,218410,RFHIC,2022-06-03,2022-06-09,31050.0,30043.0,-3.484,SL,6
A_눌림목v2,058610,에스피지,2022-04-07,2022-04-08,14900.0,14417.0,-3.484,SL,1
A_눌림목v2,257720,실리콘투,2023-03-07,2023-03-07,3605.0,3488.0,-3.484,SL,0
A_눌림목v2,347700,스피어,2021-12-14,2021-12-14,10462.0,10123.0,-3.484,SL,0
A_눌림목v2,347700,스피어,2023-03-07,2023-03-07,5866.0,5676.0,-3.484,SL,0
A_눌림목v2,204320,HL만도,2024-06-12,2024-06-13,47300.0,45766.0,-3.484,SL,1
A_눌림목v2,031980,피에스케이홀딩스,2021-06-03,2021-06-08,12450.0,12046.0,-3.484,SL,5
A_눌림목v2,031980,피에스케이홀딩스,2021-12-27,2021-12-27,15450.0,16644.0,7.461,TP,0
A_눌림목v2,031980,피에스케이홀딩스,2023-08-02,2023-08-02,31550.0,30527.0,-3.484,SL,0
A_눌림목v2,031980,피에스케이홀딩스,2024-03-26,2024-04-01,46100.0,44605.0,-3.484,SL,6
A_눌림목v2,336260,두산퓨얼셀,2023-11-23,2023-11-24,20650.0,22246.0,7.461,TP,1
A_눌림목v2,336260,두산퓨얼셀,2024-12-04,2024-12-05,16710.0,16168.0,-3.484,SL,1
A_눌림목v2,120110,코오롱인더,2021-09-02,2021-09-02,86700.0,83889.0,-3.484,SL,0
A_눌림목v2,120110,코오롱인더,2022-04-05,2022-04-07,61900.0,59893.0,-3.484,SL,2
A_눌림목v2,030530,원익홀딩스,2024-11-26,2024-11-27,2815.0,2724.0,-3.484,SL,1
A_눌림목v2,097230,HJ중공업,2022-12-02,2022-12-02,4470.0,4325.0,-3.484,SL,0
A_눌림목v2,023590,다우기술,2024-02-19,2024-02-21,23150.0,22399.0,-3.484,SL,2
A_눌림목v2,039200,오스코텍,2022-11-21,2022-11-21,19450.0,18819.0,-3.484,SL,0
A_눌림목v2,099320,쎄트렉아이,2024-04-30,2024-04-30,49400.0,53219.0,7.461,TP,0
A_눌림목v2,007810,코리아써키트,2021-11-23,2021-11-23,22300.0,21577.0,-3.484,SL,0
A_눌림목v2,007810,코리아써키트,2024-02-19,2024-02-19,20850.0,20174.0,-3.484,SL,0
A_눌림목v2,101490,에스앤에스텍,2022-10-28,2022-10-28,25000.0,24189.0,-3.484,SL,0
A_눌림목v2,101490,에스앤에스텍,2023-04-14,2023-04-18,46250.0,44750.0,-3.484,SL,4
A_눌림목v2,298020,효성티앤씨,2021-06-21,2021-06-29,830000.0,894158.0,7.461,TP,8
A_눌림목v2,005070,코스모신소재,2023-09-21,2023-09-22,160400.0,155199.0,-3.484,SL,1
A_눌림목v2,000500,가온전선,2024-05-03,2024-05-03,47650.0,46105.0,-3.484,SL,0
A_눌림목v2,000500,가온전선,2024-05-17,2024-05-17,63200.0,61151.0,-3.484,SL,0
A_눌림목v2,323280,태성,2023-06-21,2023-06-21,2504.0,2698.0,7.461,TP,0
A_눌림목v2,323280,태성,2023-07-19,2023-07-20,3420.0,3684.0,7.461,TP,1
A_눌림목v2,038500,삼표시멘트,2022-10-27,2022-11-04,3515.0,3577.0,1.523,EXPIRE,8
A_눌림목v2,003570,SNT다이내믹스,2022-08-12,2022-08-19,9230.0,9943.0,7.461,TP,7
A_눌림목v2,065350,신성델타테크,2021-04-19,2021-04-20,10800.0,10450.0,-3.484,SL,1
A_눌림목v2,065350,신성델타테크,2021-06-21,2021-06-22,13500.0,13062.0,-3.484,SL,1
A_눌림목v2,065350,신성델타테크,2021-06-28,2021-06-29,15600.0,15094.0,-3.484,SL,1
A_눌림목v2,065350,신성델타테크,2023-11-21,2023-11-21,40350.0,39042.0,-3.484,SL,0
A_눌림목v2,065350,신성델타테크,2024-12-16,2024-12-16,89200.0,96095.0,7.461,TP,0
A_눌림목v2,003530,한화투자증권,2021-06-07,2021-06-10,5210.0,5041.0,-3.484,SL,3
A_눌림목v2,100790,미래에셋벤처투자,2023-02-14,2023-02-14,5890.0,5699.0,-3.484,SL,0
A_눌림목v2,115180,큐리언트,2023-11-24,2023-11-24,3922.0,3795.0,-3.484,SL,0
A_눌림목v2,115180,큐리언트,2023-12-13,2023-12-13,3576.0,3852.0,7.461,TP,0
A_눌림목v2,082270,젬백스,2024-09-27,2024-09-30,19800.0,19158.0,-3.484,SL,3
A_눌림목v2,082640,동양생명,2024-07-02,2024-07-02,7660.0,8252.0,7.461,TP,0
A_눌림목v2,082640,동양생명,2024-07-05,2024-07-08,8100.0,7837.0,-3.484,SL,3
A_눌림목v2,417200,LS머트리얼즈,2024-04-05,2024-04-05,26500.0,25641.0,-3.484,SL,0
A_눌림목v2,281740,레이크머티리얼즈,2023-04-21,2023-04-21,15700.0,15191.0,-3.484,SL,0
A_눌림목v2,080220,제주반도체,2021-12-08,2021-12-08,7140.0,6908.0,-3.484,SL,0
A_눌림목v2,080220,제주반도체,2021-12-10,2021-12-10,6650.0,6434.0,-3.484,SL,0
A_눌림목v2,080220,제주반도체,2023-01-10,2023-01-18,3955.0,3891.0,-1.855,EXPIRE,8
A_눌림목v2,048410,현대바이오,2024-03-22,2024-03-22,9847.0,10608.0,7.461,TP,0
A_눌림목v2,090710,휴림로봇,2022-04-01,2022-04-01,4537.0,4390.0,-3.484,SL,0
A_눌림목v2,090710,휴림로봇,2022-06-09,2022-06-10,11311.0,10944.0,-3.484,SL,1
A_눌림목v2,131290,티에스이,2023-09-06,2023-09-06,45350.0,43879.0,-3.484,SL,0
A_눌림목v2,131290,티에스이,2024-09-25,2024-09-26,47600.0,51279.0,7.461,TP,1
A_눌림목v2,003240,태광산업,2024-02-06,2024-02-06,868000.0,839854.0,-3.484,SL,0
A_눌림목v2,000080,하이트진로,2023-11-17,2023-11-27,23050.0,22720.0,-1.676,EXPIRE,10
A_눌림목v2,052020,에스티큐브,2022-07-25,2022-07-25,11553.0,11178.0,-3.484,SL,0
A_눌림목v2,052020,에스티큐브,2023-04-10,2023-04-10,18163.0,17574.0,-3.484,SL,0
A_눌림목v2,052020,에스티큐브,2023-12-08,2023-12-18,9021.0,9265.0,2.454,EXPIRE,10
A_눌림목v2,052020,에스티큐브,2024-05-03,2024-05-07,5716.0,5531.0,-3.484,SL,4
A_눌림목v2,051915,LG화학우,2022-08-03,2022-08-09,294000.0,316726.0,7.461,TP,6
A_눌림목v2,124500,아이티센글로벌,2023-12-14,2023-12-14,6600.0,6386.0,-3.484,SL,0
A_눌림목v2,007390,네이처셀,2024-05-29,2024-05-29,11480.0,11108.0,-3.484,SL,0
A_눌림목v2,027360,아주IB투자,2021-04-06,2021-04-07,7200.0,7757.0,7.461,TP,1
A_눌림목v2,027360,아주IB투자,2022-02-22,2022-02-23,3765.0,3643.0,-3.484,SL,1
A_눌림목v2,192080,더블유게임즈,2021-04-13,2021-04-21,58685.0,57805.0,-1.745,EXPIRE,8
A_눌림목v2,388720,유일로보틱스,2022-08-08,2022-08-08,31350.0,30333.0,-3.484,SL,0
A_눌림목v2,100840,SNT에너지,2024-11-27,2024-11-28,18150.0,17561.0,-3.484,SL,1
A_눌림목v2,298050,HS효성첨단소재,2024-01-02,2024-01-04,396500.0,383643.0,-3.484,SL,2
A_눌림목v2,056080,유진로봇,2023-09-05,2023-09-06,10230.0,11021.0,7.461,TP,1
A_눌림목v2,009240,한샘,2022-11-21,2022-11-22,45800.0,44315.0,-3.484,SL,1
A_눌림목v2,075580,세진중공업,2024-06-18,2024-06-24,8110.0,8737.0,7.461,TP,6
A_눌림목v2,137310,에스디바이오센서,2024-03-28,2024-03-29,12080.0,11688.0,-3.484,SL,1
A_눌림목v2,195870,해성디에스,2023-08-02,2023-08-02,75200.0,72762.0,-3.484,SL,0
A_눌림목v2,204270,제이앤티씨,2021-09-02,2021-09-09,9290.0,8989.0,-3.484,SL,7
A_눌림목v2,204270,제이앤티씨,2024-06-24,2024-06-24,29100.0,28156.0,-3.484,SL,0
A_눌림목v2,161580,필옵틱스,2022-12-01,2022-12-01,8030.0,7770.0,-3.484,SL,0
A_눌림목v2,003030,세아제강지주,2023-12-19,2023-12-21,231500.0,223993.0,-3.484,SL,2
A_눌림목v2,171090,선익시스템,2024-06-13,2024-06-14,70200.0,67924.0,-3.484,SL,1
A_눌림목v2,006650,대한유화,2024-05-03,2024-05-14,139100.0,149852.0,7.461,TP,11
A_눌림목v2,348370,엔켐,2022-08-16,2022-08-17,56500.0,60867.0,7.461,TP,1
A_눌림목v2,241710,코스메카코리아,2021-04-07,2021-04-07,17650.0,17078.0,-3.484,SL,0
A_눌림목v2,004490,세방전지,2022-07-28,2022-08-05,53600.0,53313.0,-0.784,EXPIRE,8
A_눌림목v2,121600,나노신소재,2021-12-10,2021-12-10,68800.0,74118.0,7.461,TP,0
A_눌림목v2,121600,나노신소재,2023-04-07,2023-04-10,170900.0,184110.0,7.461,TP,3
A_눌림목v2,084110,휴온스글로벌,2021-04-22,2021-04-23,60191.0,58239.0,-3.484,SL,1
A_눌림목v2,084110,휴온스글로벌,2021-12-17,2021-12-20,39825.0,38534.0,-3.484,SL,3
A_눌림목v2,225570,넥슨게임즈,2023-04-06,2023-04-07,19620.0,21137.0,7.461,TP,1
A_눌림목v2,225570,넥슨게임즈,2023-04-12,2023-04-12,20500.0,19835.0,-3.484,SL,0
A_눌림목v2,000370,한화손해보험,2022-03-25,2022-03-29,5030.0,4867.0,-3.484,SL,4
A_눌림목v2,425420,티에프이,2023-11-10,2023-11-13,37000.0,35800.0,-3.484,SL,3
A_눌림목v2,025540,한국단자,2021-06-07,2021-06-08,98900.0,95693.0,-3.484,SL,1
A_눌림목v2,025540,한국단자,2023-11-09,2023-11-10,71300.0,68988.0,-3.484,SL,1
A_눌림목v2,033100,제룡전기,2022-11-21,2022-11-21,11000.0,10643.0,-3.484,SL,0
